#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6;;;;;;;;;
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com;;;;;;;;;
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable;;;;;;;;;
-----------------------------------------------;;;;;;;;;
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement;;;;;;;;;
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources;;;;;;;;;
-----------------------------------------------;;;;;;;;;
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection;Latitude;Longitude
10/01/2021;Royaume-Uni;3078198;81551;5020;2.65;0.16;97.19;;
10/01/2021;Gabon;9694;66;9498;0.68;97.98;1.34;;
10/01/2021;France;2777941;67380;178316;2.43;6.42;91.16;;
10/01/2021;Îles Féroé;646;1;607;0.15;93.96;5.88;;
10/01/2021;Fidji;53;2;47;3.77;88.68;7.55;;
10/01/2021;Finlande;38590;586;31000;1.52;80.33;18.15;;
10/01/2021;Éthiopie;128316;1994;113374;1.55;88.36;10.09;;
10/01/2021;Espagne;2050360;51874;150376;2.53;7.33;90.14;;
10/01/2021;Érythrée;1556;6;740;0.39;47.56;52.06;;
10/01/2021;Égypte;149792;8197;118900;5.47;79.38;15.15;;
10/01/2021;Estonie;33516;283;22876;0.84;68.25;30.90;;
10/01/2021;Équateur;221070;14177;190350;6.41;86.10;7.48;;
10/01/2021;Algérie;102144;2807;69212;2.75;67.76;29.49;;
10/01/2021;République Dominicaine;182103;2427;138076;1.33;75.82;22.84;;
10/01/2021;Dominique;106;0;98;0.00;92.45;7.55;;
10/01/2021;Danemark;181515;1570;153593;0.86;84.62;14.52;;
10/01/2021;Djibouti;5871;61;5780;1.04;98.45;0.51;;
10/01/2021;Allemagne;1929410;40936;1566907;2.12;81.21;16.67;;
10/01/2021;République Tchèque;831165;13115;657504;1.58;79.11;19.32;;
10/01/2021;Chypre;27350;148;2057;0.54;7.52;91.94;;
10/01/2021;Cap-vert;12392;114;11733;0.92;94.68;4.40;;
10/01/2021;Cuba;14576;151;11863;1.04;81.39;17.58;;
10/01/2021;Costa Rica;177614;2305;136083;1.30;76.62;22.08;;
10/01/2021;Colombie;1786900;46114;1621019;2.58;90.72;6.70;;
10/01/2021;Chine;87536;4634;82228;5.29;93.94;0.77;;
10/01/2021;Cameroun;26848;448;24892;1.67;92.71;5.62;;
10/01/2021;Chili;641923;17096;602861;2.66;93.91;3.42;;
10/01/2021;Côte d'Ivoire;23750;139;22570;0.59;95.03;4.38;;
10/01/2021;Congo (Brazzaville);7127;108;5846;1.52;82.03;16.46;;
10/01/2021;Suisse;477983;8267;317600;1.73;66.45;31.82;;
10/01/2021;République Centrafricaine;4973;63;4885;1.27;98.23;0.50;;
10/01/2021;Rép. Dém. du Congo;19436;611;14743;3.14;75.85;21.00;;
10/01/2021;Canada;664606;16960;565049;2.55;85.02;12.43;;
10/01/2021;Belize;11303;274;10397;2.42;91.98;5.59;;
10/01/2021;Bélarus;212201;1517;194984;0.71;91.89;7.40;;
10/01/2021;Botswana;16050;48;12927;0.30;80.54;19.16;;
10/01/2021;Bhoutan;813;1;459;0.12;56.46;43.42;;
10/01/2021;Bahamas;7969;175;6313;2.20;79.22;18.58;;
10/01/2021;Brésil;8105790;203100;7231336;2.51;89.21;8.28;;
10/01/2021;Bolivie;173896;9376;138087;5.39;79.41;15.20;;
10/01/2021;Brunéi Darussalam;173;3;153;1.73;88.44;9.83;;
10/01/2021;Saint Barthélemy;206;1;172;0.49;83.50;16.02;;
10/01/2021;Bénin;3304;44;3185;1.33;96.40;2.27;;
10/01/2021;Burundi;986;2;773;0.20;78.40;21.40;;
10/01/2021;Bahreïn;95558;356;92362;0.37;96.66;2.97;;
10/01/2021;Bulgarie;208511;8126;135259;3.90;64.87;31.23;;
10/01/2021;Burkina Faso;8082;89;5845;1.10;72.32;26.58;;
10/01/2021;Belgique;664263;20078;0;3.02;0.00;96.98;;
10/01/2021;Bangladesh;522453;7781;466801;1.49;89.35;9.16;;
10/01/2021;Barbade;878;7;389;0.80;44.31;54.90;;
10/01/2021;Bosnie-Herzégovine;115633;4330;81625;3.74;70.59;25.67;;
10/01/2021;Azerbaïdjan;224651;2909;208681;1.29;92.89;5.81;;
10/01/2021;Australie;28614;909;25837;3.18;90.29;6.53;;
10/01/2021;Autriche;380722;6723;353749;1.77;92.92;5.32;;
10/01/2021;Argentine;1722217;44495;1511750;2.58;87.78;9.64;;
10/01/2021;Angola;18193;416;13872;2.29;76.25;21.46;;
10/01/2021;Arménie;162131;2929;149312;1.81;92.09;6.10;;
10/01/2021;Albanie;63595;1241;37648;1.95;59.20;38.85;;
10/01/2021;Antigua-et-Barbuda;176;5;152;2.84;86.36;10.80;;
10/01/2021;Afghanistan;53489;2277;43948;4.26;82.16;13.58;;
10/01/2021;Émirats Arabes Unis;230578;708;206114;0.31;89.39;10.30;;
10/01/2021;Andorre;8586;85;7724;0.99;89.96;9.05;;
09/01/2021;Andorre;8586;85;7724;0.99;89.96;9.05;;
09/01/2021;Émirats Arabes Unis;227702;702;203660;0.31;89.44;10.25;;
09/01/2021;Afghanistan;53400;2264;43740;4.24;81.91;13.85;;
09/01/2021;Antigua-et-Barbuda;169;5;152;2.96;89.94;7.10;;
09/01/2021;Albanie;63033;1233;37327;1.96;59.22;38.83;;
09/01/2021;Arménie;161794;2922;148893;1.81;92.03;6.17;;
09/01/2021;Angola;18156;416;13205;2.29;72.73;24.98;;
09/01/2021;Argentine;1714409;44417;1504330;2.59;87.75;9.66;;
09/01/2021;Autriche;379071;6687;351382;1.76;92.70;5.54;;
09/01/2021;Australie;28595;909;25827;3.18;90.32;6.50;;
09/01/2021;Azerbaïdjan;224050;2890;207088;1.29;92.43;6.28;;
09/01/2021;Bosnie-Herzégovine;115379;4305;81325;3.73;70.49;25.78;;
09/01/2021;Barbade;808;7;373;0.87;46.16;52.97;;
09/01/2021;Bangladesh;521382;7756;466064;1.49;89.39;9.12;;
09/01/2021;Belgique;662694;20038;0;3.02;0.00;96.98;;
09/01/2021;Burkina Faso;7866;89;5710;1.13;72.59;26.28;;
09/01/2021;Bulgarie;208406;8097;134564;3.89;64.57;31.55;;
09/01/2021;Bahreïn;95317;355;92113;0.37;96.64;2.99;;
09/01/2021;Burundi;885;2;773;0.23;87.34;12.43;;
09/01/2021;Bénin;3304;44;3185;1.33;96.40;2.27;;
09/01/2021;Saint Barthélemy;206;1;172;0.49;83.50;16.02;;
09/01/2021;Brunéi Darussalam;173;3;153;1.73;88.44;9.83;;
09/01/2021;Bolivie;172798;9351;137704;5.41;79.69;14.90;;
09/01/2021;Brésil;8075998;202631;7205410;2.51;89.22;8.27;;
09/01/2021;Bahamas;7969;175;6313;2.20;79.22;18.58;;
09/01/2021;Bhoutan;810;1;459;0.12;56.67;43.21;;
09/01/2021;Botswana;16050;48;12927;0.30;80.54;19.16;;
09/01/2021;Bélarus;210368;1507;192620;0.72;91.56;7.72;;
09/01/2021;Belize;11266;271;10386;2.41;92.19;5.41;;
09/01/2021;Canada;657323;16869;558594;2.57;84.98;12.45;;
09/01/2021;Rép. Dém. du Congo;19159;611;14743;3.19;76.95;19.86;;
09/01/2021;République Centrafricaine;4969;63;4885;1.27;98.31;0.42;;
09/01/2021;Suisse;477983;8253;317600;1.73;66.45;31.83;;
09/01/2021;Congo (Brazzaville);7127;108;5846;1.52;82.03;16.46;;
09/01/2021;Côte d'Ivoire;23482;139;22411;0.59;95.44;3.97;;
09/01/2021;Chili;637742;17037;599604;2.67;94.02;3.31;;
09/01/2021;Cameroun;26848;448;24892;1.67;92.71;5.62;;
09/01/2021;Chine;87433;4634;82210;5.30;94.03;0.67;;
09/01/2021;Colombie;1771363;45784;1609564;2.58;90.87;6.55;;
09/01/2021;Costa Rica;177614;2305;136083;1.30;76.62;22.08;;
09/01/2021;Cuba;14188;148;11682;1.04;82.34;16.62;;
09/01/2021;Cap-vert;12316;114;11731;0.93;95.25;3.82;;
09/01/2021;Chypre;27011;147;2057;0.54;7.62;91.84;;
09/01/2021;République Tchèque;822716;12978;654008;1.58;79.49;18.93;;
09/01/2021;Allemagne;1928462;40597;1546206;2.11;80.18;17.72;;
09/01/2021;Djibouti;5866;61;5774;1.04;98.43;0.53;;
09/01/2021;Danemark;180269;1542;150960;0.86;83.74;15.40;;
09/01/2021;Dominique;106;0;98;0.00;92.45;7.55;;
09/01/2021;République Dominicaine;180644;2424;137098;1.34;75.89;22.76;;
09/01/2021;Algérie;101913;2803;69011;2.75;67.72;29.53;;
09/01/2021;Équateur;220349;14177;190350;6.43;86.39;7.18;;
09/01/2021;Estonie;33089;278;22752;0.84;68.76;30.40;;
09/01/2021;Égypte;148799;8142;118294;5.47;79.50;15.03;;
09/01/2021;Érythrée;1556;6;740;0.39;47.56;52.06;;
09/01/2021;Espagne;2050360;51874;150376;2.53;7.33;90.14;;
09/01/2021;Éthiopie;127792;1985;113295;1.55;88.66;9.79;;
09/01/2021;Finlande;38392;586;31000;1.53;80.75;17.73;;
09/01/2021;Fidji;53;2;44;3.77;83.02;13.21;;
09/01/2021;Îles Féroé;646;1;596;0.15;92.26;7.59;;
09/01/2021;France;2762140;67229;178052;2.43;6.45;91.12;;
09/01/2021;Gabon;9694;66;9498;0.68;97.98;1.34;;
09/01/2021;Royaume-Uni;3023233;80988;5009;2.68;0.17;97.16;;
09/01/2021;Grenade;127;1;107;0.79;84.25;14.96;;
09/01/2021;Géorgie;238086;2750;224718;1.16;94.39;4.46;;
09/01/2021;Guyane Française;13970;74;9995;0.53;71.55;27.92;;
09/01/2021;Ghana;55772;336;54438;0.60;97.61;1.79;;
09/01/2021;Gibraltar;3109;12;1842;0.39;59.25;40.37;;
09/01/2021;Gambie;3841;125;3677;3.25;95.73;1.02;;
09/01/2021;Guinée;13942;81;13223;0.58;94.84;4.58;;
09/01/2021;Guadeloupe;8702;155;2242;1.78;25.76;72.45;;
09/01/2021;Guinée Équatoriale;5289;86;5154;1.63;97.45;0.93;;
09/01/2021;Grèce;144293;5227;93764;3.62;64.98;31.40;;
09/01/2021;Guatemala;143127;4999;130549;3.49;91.21;5.30;;
09/01/2021;Guinée-Bissau;2455;45;2398;1.83;97.68;0.49;;
09/01/2021;Guyana;6541;167;6019;2.55;92.02;5.43;;
09/01/2021;Hong-Kong;9211;157;8374;1.70;90.91;7.38;;
09/01/2021;Honduras;126943;3264;58788;2.57;46.31;51.12;;
09/01/2021;Croatie;219347;4342;209207;1.98;95.38;2.64;;
09/01/2021;Haïti;10272;238;8768;2.32;85.36;12.32;;
09/01/2021;Hongrie;340459;10554;193172;3.10;56.74;40.16;;
09/01/2021;Indonésie;818386;23947;673511;2.93;82.30;14.78;;
09/01/2021;Irlande;140727;2336;23364;1.66;16.60;81.74;;
09/01/2021;Israël;485434;3645;412296;0.75;84.93;14.32;;
09/01/2021;Inde;10450284;150999;10075950;1.44;96.42;2.14;;
09/01/2021;Iraq;602331;12881;554990;2.14;92.14;5.72;;
09/01/2021;Iran;1280438;56100;1067466;4.38;83.37;12.25;;
09/01/2021;Islande;5880;29;5706;0.49;97.04;2.47;;
09/01/2021;Italie;2257866;78394;1606630;3.47;71.16;25.37;;
09/01/2021;Jamaïque;13455;311;11379;2.31;84.57;13.12;;
09/01/2021;Jordanie;305959;4009;286983;1.31;93.80;4.89;;
09/01/2021;Japon;282737;3805;217213;1.35;76.83;21.83;;
09/01/2021;Kenya;98184;1704;80808;1.74;82.30;15.96;;
09/01/2021;Kirghizistan;82138;1367;77751;1.66;94.66;3.68;;
09/01/2021;Cambodge;391;0;371;0.00;94.88;5.12;;
09/01/2021;Comores;1150;18;860;1.57;74.78;23.65;;
09/01/2021;Saint-Kitts-et-Nevis;34;0;31;0.00;91.18;8.82;;
09/01/2021;Corée du Sud;68664;1125;50409;1.64;73.41;24.95;;
09/01/2021;Koweït;153900;942;148728;0.61;96.64;2.75;;
09/01/2021;Kazakhstan;208596;2843;182575;1.36;87.53;11.11;;
09/01/2021;Laos;41;0;40;0.00;97.56;2.44;;
09/01/2021;Liban;215553;1590;140569;0.74;65.21;34.05;;
09/01/2021;Sainte-Lucie;438;5;309;1.14;70.55;28.31;;
09/01/2021;Liechtenstein;2329;49;2108;2.10;90.51;7.39;;
09/01/2021;Sri Lanka;47840;229;40838;0.48;85.36;14.16;;
09/01/2021;Libéria;1779;83;1406;4.67;79.03;16.30;;
09/01/2021;Lesotho;5203;84;1572;1.61;30.21;68.17;;
09/01/2021;Lituanie;158180;2171;92212;1.37;58.30;40.33;;
09/01/2021;Luxembourg;47744;527;44482;1.10;93.17;5.73;;
09/01/2021;Lettonie;48952;818;35304;1.67;72.12;26.21;;
09/01/2021;Libye;104002;1568;79193;1.51;76.15;22.35;;
09/01/2021;Maroc;451637;7709;423541;1.71;93.78;4.51;;
09/01/2021;Monaco;1053;4;830;0.38;78.82;20.80;;
09/01/2021;Moldavie;149093;3130;138103;2.10;92.63;5.27;;
09/01/2021;Montenegro;51999;721;41827;1.39;80.44;18.18;;
09/01/2021;Saint Martin;1025;12;855;1.17;83.41;15.41;;
09/01/2021;Madagascar;17767;262;17298;1.47;97.36;1.17;;
09/01/2021;Îles Marshall;4;0;4;0.00;100.00;0.00;;
09/01/2021;Macédoine;86150;2614;67164;3.03;77.96;19.00;;
09/01/2021;Mali;7565;295;5266;3.90;69.61;26.49;;
09/01/2021;Birmanie;130049;2826;113550;2.17;87.31;10.51;;
09/01/2021;Mongolie;1429;2;896;0.14;62.70;37.16;;
09/01/2021;Macao;46;0;46;0.00;100.00;0.00;;
09/01/2021;Martinique;6117;43;98;0.70;1.60;97.69;;
09/01/2021;Mauritanie;15429;383;13306;2.48;86.24;11.28;;
09/01/2021;Malte;14212;232;11759;1.63;82.74;15.63;;
09/01/2021;Maurice;539;10;514;1.86;95.36;2.78;;
09/01/2021;Maldives;14065;49;13308;0.35;94.62;5.03;;
09/01/2021;Malawi;8306;220;5809;2.65;69.94;27.41;;
09/01/2021;Mexique;1524036;133204;1143254;8.74;75.01;16.24;;
09/01/2021;Malaisie;133559;542;106832;0.41;79.99;19.61;;
09/01/2021;Mozambique;21361;187;17521;0.88;82.02;17.10;;
09/01/2021;Namibie;27723;251;23912;0.91;86.25;12.84;;
09/01/2021;Nouvelle-Calédonie;40;0;40;0.00;100.00;0.00;;
09/01/2021;Niger;3819;126;2323;3.30;60.83;35.87;;
09/01/2021;Nigéria;99063;1350;79417;1.36;80.17;18.47;;
09/01/2021;Nicaragua;6097;166;4225;2.72;69.30;27.98;;
09/01/2021;Pays-Bas;878443;12406;10716;1.41;1.22;97.37;;
09/01/2021;Norvège;54919;472;17998;0.86;32.77;66.37;;
09/01/2021;Népal;264521;1912;257928;0.72;97.51;1.77;;
09/01/2021;Nouvelle-Zélande;2219;25;2119;1.13;95.49;3.38;;
09/01/2021;Oman;130070;1505;122556;1.16;94.22;4.62;;
09/01/2021;Panama;276772;4406;217544;1.59;78.60;19.81;;
09/01/2021;Pérou;1026180;38049;966447;3.71;94.18;2.11;;
09/01/2021;Polynésie Française;17241;122;4842;0.71;28.08;71.21;;
09/01/2021;Papouasie-Nouvelle-Guinée;811;9;755;1.11;93.09;5.80;;
09/01/2021;Philippines;485797;9398;449615;1.93;92.55;5.51;;
09/01/2021;Pakistan;502416;10644;456969;2.12;90.95;6.93;;
09/01/2021;Pologne;1376389;31011;1113738;2.25;80.92;16.83;;
09/01/2021;Palestine;146701;1583;130102;1.08;88.69;10.24;;
09/01/2021;Portugal;476187;7701;366080;1.62;76.88;21.51;;
09/01/2021;Paraguay;115026;2387;90547;2.08;78.72;19.21;;
09/01/2021;Qatar;145672;246;142572;0.17;97.87;1.96;;
09/01/2021;Réunion;9247;42;8830;0.45;95.49;4.06;;
09/01/2021;Roumanie;668202;16592;596515;2.48;89.27;8.25;;
09/01/2021;Serbie;356125;3513;0;0.99;0.00;99.01;;
09/01/2021;Russie;3344175;60523;2726336;1.81;81.52;16.67;;
09/01/2021;Rwanda;9461;118;6956;1.25;73.52;25.23;;
09/01/2021;Arabie Saoudite;363692;6286;355382;1.73;97.72;0.56;;
09/01/2021;Îles Salomon;17;0;10;0.00;58.82;41.18;;
09/01/2021;Seychelles;508;1;214;0.20;42.13;57.68;;
09/01/2021;Soudan;23316;1468;13524;6.30;58.00;35.70;;
09/01/2021;Suède;489471;9433;0;1.93;0.00;98.07;;
09/01/2021;Singapour;58865;29;58611;0.05;99.57;0.38;;
09/01/2021;Slovénie;138518;2973;111269;2.15;80.33;17.53;;
09/01/2021;Slovaquie;205236;2836;144612;1.38;70.46;28.16;;
09/01/2021;Sierra Leone;2803;77;1979;2.75;70.60;26.65;;
09/01/2021;Saint-Marin;2628;64;2220;2.44;84.47;13.09;;
09/01/2021;Sénégal;21000;459;18128;2.19;86.32;11.49;;
09/01/2021;Somalie;4726;130;3639;2.75;77.00;20.25;;
09/01/2021;Suriname;6948;132;6215;1.90;89.45;8.65;;
09/01/2021;Soudan du sud;3589;63;3131;1.76;87.24;11.01;;
09/01/2021;Sao Tomé-et-Principe;1066;17;988;1.59;92.68;5.72;;
09/01/2021;El Salvador;48574;1408;43134;2.90;88.80;8.30;;
09/01/2021;Syrie;12274;768;5953;6.26;48.50;45.24;;
09/01/2021;Eswatini;11180;291;7592;2.60;67.91;29.49;;
09/01/2021;Tchad;2510;107;1962;4.26;78.17;17.57;;
09/01/2021;Togo;3932;72;3602;1.83;91.61;6.56;;
09/01/2021;Thaïlande;10053;67;5546;0.67;55.17;44.17;;
09/01/2021;Tadjikistan;13305;90;13215;0.68;99.32;0.00;;
09/01/2021;Timor-Leste;49;0;40;0.00;81.63;18.37;;
09/01/2021;Tunisie;157514;5153;116526;3.27;73.98;22.75;;
09/01/2021;Turquie;2317118;22631;2190047;0.98;94.52;4.51;;
09/01/2021;Trinité-et-Tobago;7244;128;6844;1.77;94.48;3.75;;
09/01/2021;Taïwan;828;7;720;0.85;86.96;12.20;;
09/01/2021;Tanzanie;509;21;183;4.13;35.95;59.92;;
09/01/2021;Ukraine;1144943;20526;814779;1.79;71.16;27.04;;
09/01/2021;Ouganda;37554;301;12720;0.80;33.87;65.33;;
09/01/2021;États-Unis;22192842;372516;0;1.68;0.00;98.32;;
09/01/2021;Uruguay;24974;248;18372;0.99;73.56;25.44;;
09/01/2021;Ouzbékistan;77530;616;75947;0.79;97.96;1.25;;
09/01/2021;Vatican;27;0;15;0.00;55.56;44.44;;
09/01/2021;St-Vincent / Grenadines;225;0;100;0.00;44.44;55.56;;
09/01/2021;Venezuela;116172;1061;110126;0.91;94.80;4.29;;
09/01/2021;Viet Nam;1513;35;1361;2.31;89.95;7.73;;
09/01/2021;Vanuatu;1;0;1;0.00;100.00;0.00;;
09/01/2021;Samoa;2;0;2;0.00;100.00;0.00;;
09/01/2021;Kosovo;53264;1368;45002;2.57;84.49;12.94;;
09/01/2021;Yémen;2104;610;1407;28.99;66.87;4.13;;
09/01/2021;Mayotte;6232;56;2964;0.90;47.56;51.54;;
09/01/2021;Afrique du Sud;1214176;32824;956712;2.70;78.80;18.50;;
09/01/2021;Zambie;26567;464;20512;1.75;77.21;21.04;;
09/01/2021;Zimbabwe;20499;483;12439;2.36;60.68;36.96;;
09/01/2021;Autres;721;15;706;2.08;97.92;0.00;;
08/01/2021;Autres;721;15;706;2.08;97.92;0.00;;
08/01/2021;Zimbabwe;19660;468;12184;2.38;61.97;35.65;;
08/01/2021;Zambie;25326;441;20349;1.74;80.35;17.91;;
08/01/2021;Afrique du Sud;1192570;32425;947919;2.72;79.49;17.80;;
08/01/2021;Mayotte;6045;56;2964;0.93;49.03;50.04;;
08/01/2021;Yémen;2104;610;1405;28.99;66.78;4.23;;
08/01/2021;Kosovo;53264;1368;45002;2.57;84.49;12.94;;
08/01/2021;Samoa;2;0;2;0.00;100.00;0.00;;
08/01/2021;Vanuatu;1;0;1;0.00;100.00;0.00;;
08/01/2021;Viet Nam;1512;35;1357;2.31;89.75;7.94;;
08/01/2021;Venezuela;115667;1056;109684;0.91;94.83;4.26;;
08/01/2021;St-Vincent / Grenadines;149;0;100;0.00;67.11;32.89;;
08/01/2021;Vatican;27;0;15;0.00;55.56;44.44;;
08/01/2021;Ouzbékistan;77485;616;75875;0.79;97.92;1.28;;
08/01/2021;Uruguay;24339;240;17677;0.99;72.63;26.39;;
08/01/2021;États-Unis;21928012;369263;0;1.68;0.00;98.32;;
08/01/2021;Ouganda;37296;300;12619;0.80;33.83;65.36;;
08/01/2021;Ukraine;1139800;20432;806525;1.79;70.76;27.45;;
08/01/2021;Tanzanie;509;21;183;4.13;35.95;59.92;;
08/01/2021;Taïwan;825;7;714;0.85;86.55;12.61;;
08/01/2021;Trinité-et-Tobago;7219;127;6832;1.76;94.64;3.60;;
08/01/2021;Turquie;2307581;22450;2182145;0.97;94.56;4.46;;
08/01/2021;Tunisie;154903;5108;115173;3.30;74.35;22.35;;
08/01/2021;Timor-Leste;49;0;40;0.00;81.63;18.37;;
08/01/2021;Tadjikistan;13305;90;13191;0.68;99.14;0.18;;
08/01/2021;Thaïlande;9841;67;5255;0.68;53.40;45.92;;
08/01/2021;Togo;3894;72;3581;1.85;91.96;6.19;;
08/01/2021;Tchad;2419;106;1938;4.38;80.12;15.50;;
08/01/2021;Eswatini;10975;279;7494;2.54;68.28;29.18;;
08/01/2021;Syrie;12179;763;5889;6.26;48.35;45.38;;
08/01/2021;El Salvador;48255;1398;42902;2.90;88.91;8.20;;
08/01/2021;Sao Tomé-et-Principe;1054;17;988;1.61;93.74;4.65;;
08/01/2021;Soudan du sud;3589;63;3131;1.76;87.24;11.01;;
08/01/2021;Suriname;6854;131;6147;1.91;89.68;8.40;;
08/01/2021;Somalie;4726;130;3639;2.75;77.00;20.25;;
08/01/2021;Sénégal;20672;446;18016;2.16;87.15;10.69;;
08/01/2021;Sierra Leone;2782;77;1976;2.77;71.03;26.20;;
08/01/2021;Saint-Marin;2628;64;2220;2.44;84.47;13.09;;
08/01/2021;Slovaquie;201164;2788;141490;1.39;70.34;28.28;;
08/01/2021;Slovénie;136629;2947;110925;2.16;81.19;16.66;;
08/01/2021;Singapour;58836;29;58580;0.05;99.56;0.39;;
08/01/2021;Suède;489471;9433;0;1.93;0.00;98.07;;
08/01/2021;Soudan;23316;1468;13524;6.30;58.00;35.70;;
08/01/2021;Seychelles;451;1;214;0.22;47.45;52.33;;
08/01/2021;Îles Salomon;17;0;10;0.00;58.82;41.18;;
08/01/2021;Arabie Saoudite;363582;6282;355208;1.73;97.70;0.58;;
08/01/2021;Rwanda;9368;115;6940;1.23;74.08;24.69;;
08/01/2021;Russie;3321163;60067;2702949;1.81;81.39;16.81;;
08/01/2021;Serbie;356125;3513;0;0.99;0.00;99.01;;
08/01/2021;Roumanie;663799;16506;595007;2.49;89.64;7.88;;
08/01/2021;Réunion;9173;42;8830;0.46;96.26;3.28;;
08/01/2021;Qatar;145466;246;142453;0.17;97.93;1.90;;
08/01/2021;Paraguay;113994;2372;89646;2.08;78.64;19.28;;
08/01/2021;Portugal;466709;7590;360181;1.63;77.17;21.20;;
08/01/2021;Palestine;146074;1559;128900;1.07;88.24;10.69;;
08/01/2021;Pologne;1365645;30574;1104599;2.24;80.88;16.88;;
08/01/2021;Pakistan;499517;10598;455445;2.12;91.18;6.70;;
08/01/2021;Philippines;483852;9364;449330;1.94;92.87;5.20;;
08/01/2021;Papouasie-Nouvelle-Guinée;811;9;755;1.11;93.09;5.80;;
08/01/2021;Polynésie Française;17241;122;4842;0.71;28.08;71.21;;
08/01/2021;Pérou;1026180;38049;964354;3.71;93.98;2.32;;
08/01/2021;Panama;273037;4363;215361;1.60;78.88;19.53;;
08/01/2021;Oman;130070;1505;122556;1.16;94.22;4.62;;
08/01/2021;Nouvelle-Zélande;2188;25;2101;1.14;96.02;2.83;;
08/01/2021;Népal;264159;1909;257229;0.72;97.38;1.90;;
08/01/2021;Norvège;54476;472;17998;0.87;33.04;66.10;;
08/01/2021;Pays-Bas;871063;12269;10514;1.41;1.21;97.38;;
08/01/2021;Nicaragua;6097;166;4225;2.72;69.30;27.98;;
08/01/2021;Nigéria;97478;1342;78552;1.38;80.58;18.04;;
08/01/2021;Niger;3747;125;2311;3.34;61.68;34.99;;
08/01/2021;Nouvelle-Calédonie;40;0;40;0.00;100.00;0.00;;
08/01/2021;Namibie;27255;245;23177;0.90;85.04;14.06;;
08/01/2021;Mozambique;20482;181;17479;0.88;85.34;13.78;;
08/01/2021;Malaisie;131108;537;105431;0.41;80.42;19.18;;
08/01/2021;Mexique;1507931;132069;1134877;8.76;75.26;15.98;;
08/01/2021;Malawi;7925;208;5802;2.62;73.21;24.16;;
08/01/2021;Maldives;14040;49;13279;0.35;94.58;5.07;;
08/01/2021;Maurice;539;10;514;1.86;95.36;2.78;;
08/01/2021;Malte;13967;230;11690;1.65;83.70;14.66;;
08/01/2021;Mauritanie;15352;382;13183;2.49;85.87;11.64;;
08/01/2021;Martinique;6117;43;98;0.70;1.60;97.69;;
08/01/2021;Macao;46;0;46;0.00;100.00;0.00;;
08/01/2021;Mongolie;1408;2;896;0.14;63.64;36.22;;
08/01/2021;Birmanie;129483;2812;112876;2.17;87.17;10.65;;
08/01/2021;Mali;7512;290;5224;3.86;69.54;26.60;;
08/01/2021;Macédoine;85594;2592;66760;3.03;78.00;18.98;;
08/01/2021;Îles Marshall;4;0;4;0.00;100.00;0.00;;
08/01/2021;Madagascar;17767;262;17298;1.47;97.36;1.17;;
08/01/2021;Saint Martin;1025;12;855;1.17;83.41;15.41;;
08/01/2021;Montenegro;51596;718;41516;1.39;80.46;18.14;;
08/01/2021;Moldavie;148669;3122;137416;2.10;92.43;5.47;;
08/01/2021;Monaco;1041;4;814;0.38;78.19;21.42;;
08/01/2021;Maroc;450221;7685;422072;1.71;93.75;4.55;;
08/01/2021;Libye;104002;1568;79193;1.51;76.15;22.35;;
08/01/2021;Lettonie;47782;801;34268;1.68;71.72;26.61;;
08/01/2021;Luxembourg;47744;527;44482;1.10;93.17;5.73;;
08/01/2021;Lituanie;156539;2119;87963;1.35;56.19;42.45;;
08/01/2021;Lesotho;5170;79;1564;1.53;30.25;68.22;;
08/01/2021;Libéria;1779;83;1406;4.67;79.03;16.30;;
08/01/2021;Sri Lanka;47305;225;40317;0.48;85.23;14.30;;
08/01/2021;Liechtenstein;2311;48;2108;2.08;91.22;6.71;;
08/01/2021;Sainte-Lucie;395;5;309;1.27;78.23;20.51;;
08/01/2021;Liban;210139;1570;138839;0.75;66.07;33.18;;
08/01/2021;Laos;41;0;40;0.00;97.56;2.44;;
08/01/2021;Kazakhstan;207683;2838;181944;1.37;87.61;11.03;;
08/01/2021;Koweït;153473;940;148483;0.61;96.75;2.64;;
08/01/2021;Corée du Sud;67999;1100;49324;1.62;72.54;25.85;;
08/01/2021;Saint-Kitts-et-Nevis;34;0;31;0.00;91.18;8.82;;
08/01/2021;Comores;1050;16;802;1.52;76.38;22.10;;
08/01/2021;Cambodge;387;0;365;0.00;94.32;5.68;;
08/01/2021;Kirghizistan;81991;1365;77547;1.66;94.58;3.76;;
08/01/2021;Kenya;97954;1703;80671;1.74;82.36;15.91;;
08/01/2021;Japon;274947;3746;213581;1.36;77.68;20.96;;
