#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6;;;;;;;;;
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com;;;;;;;;;
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable;;;;;;;;;
-----------------------------------------------;;;;;;;;;
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement;;;;;;;;;
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources;;;;;;;;;
-----------------------------------------------;;;;;;;;;
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection;Latitude;Longitude
10/01/2021;Maroc;452532;7743;424896;1.71;93.89;4.40;;
10/01/2021;Libye;104745;1581;80292;1.51;76.65;21.84;;
10/01/2021;Lettonie;49568;849;35771;1.71;72.17;26.12;;
10/01/2021;Luxembourg;47744;527;44482;1.10;93.17;5.73;;
10/01/2021;Lituanie;159672;2197;92453;1.38;57.90;40.72;;
10/01/2021;Lesotho;5937;85;1572;1.43;26.48;72.09;;
10/01/2021;Libéria;1779;83;1406;4.67;79.03;16.30;;
10/01/2021;Sri Lanka;48380;232;41325;0.48;85.42;14.10;;
10/01/2021;Liechtenstein;2340;49;2108;2.09;90.09;7.82;;
10/01/2021;Sainte-Lucie;438;5;309;1.14;70.55;28.31;;
10/01/2021;Liban;219296;1606;142239;0.73;64.86;34.41;;
10/01/2021;Laos;41;0;40;0.00;97.56;2.44;;
10/01/2021;Kazakhstan;209369;2844;182986;1.36;87.40;11.24;;
10/01/2021;Koweït;154314;943;149007;0.61;96.56;2.83;;
10/01/2021;Corée du Sud;69114;1140;52552;1.65;76.04;22.31;;
10/01/2021;Saint-Kitts-et-Nevis;34;0;31;0.00;91.18;8.82;;
10/01/2021;Comores;1150;18;860;1.57;74.78;23.65;;
10/01/2021;Cambodge;391;0;374;0.00;95.65;4.35;;
10/01/2021;Kirghizistan;82273;1369;77902;1.66;94.69;3.65;;
10/01/2021;Kenya;98271;1710;80875;1.74;82.30;15.96;;
10/01/2021;Japon;288818;3850;220380;1.33;76.30;22.36;;
10/01/2021;Jordanie;307209;4024;288785;1.31;94.00;4.69;;
10/01/2021;Jamaïque;13548;312;11429;2.30;84.36;13.34;;
10/01/2021;Italie;2276491;78755;1617804;3.46;71.07;25.47;;
10/01/2021;Islande;5890;29;5718;0.49;97.08;2.43;;
10/01/2021;Iran;1286406;56171;1074887;4.37;83.56;12.08;;
